Year	ID	Region	Subfunction	Total
2011	12	Midwest	General administration	4000000.00
2011	14	Midwest	Hospital and outpatient care	120303600.00
2011	23	Midwest	Scientific development	163009.45
2011	3	Midwest	Basic education	120516323.76
2011	25	Midwest	Special education	997789.61
2011	5	Midwest	Child education	11858637.90
2011	9	Midwest	Elementary school	4518115.65
2011	13	Midwest	High school	805382.82
2011	20	Midwest	Professionalizing education	144962703.37
2011	6	Midwest	College education	67437126.67
2011	15	Midwest	Human resource development	148364.86
2011	17	Midwest	Information technology	1196927.93
2011	11	Midwest	Funds transfer for basic education	340321054.05
