Year	ID	Region	Subfunction	Total
2010	12	North	General administration	116241968.18
2010	3	North	Basic education	30411783.58
2010	1	North	Adult education	559696.50
2010	25	North	Special education	1083773.32
2010	5	North	Child education	200458.38
2010	9	North	Elementary school	1078565.48
2010	13	North	High school	480000.00
2010	20	North	Professionalizing education	400000.00
2010	6	North	College education	11822715.64
2010	15	North	Human resource development	16632728.93
2010	17	North	Information technology	1578239.70
2010	11	North	Funds transfer for basic education	210477739.85
