Year	ID	Region	Subfunction	Total
2011	23	Northeast	Scientific development	362105.96
2011	3	Northeast	Basic education	205993391.77
2011	25	Northeast	Special education	11802228.90
2011	5	Northeast	Child education	23361361.89
2011	13	Northeast	High school	5054360.84
2011	20	Northeast	Professionalizing education	243048684.73
2011	6	Northeast	College education	6258563.16
2011	15	Northeast	Human resource development	26545960.00
2011	17	Northeast	Information technology	1996750.05
2011	11	Northeast	Funds transfer for basic education	456883621.20
