Year	ID	Region	Subfunction	Total
2010	12	Southeast	General administration	1486546160.42
2010	14	Southeast	Hospital and outpatient care	13739643.34
2010	23	Southeast	Scientific development	27128872.75
2010	8	Southeast	Dissemination of scientific knowledge	2073044.80
2010	16	Southeast	Individual and collective rights	2993230.81
2010	3	Southeast	Basic education	75211035.02
2010	1	Southeast	Adult education	3130171.50
2010	25	Southeast	Special education	1928639.81
2010	5	Southeast	Child education	18135417.31
2010	9	Southeast	Elementary school	2021589.31
2010	13	Southeast	High school	479805.00
2010	20	Southeast	Professionalizing education	137335828.16
2010	6	Southeast	College education	276955907.33
2010	15	Southeast	Human resource development	33987809.57
2010	17	Southeast	Information technology	1329476.60
2010	11	Southeast	Funds transfer for basic education	355932853.44
